Designator,Footprint,Quantity,Value,LCSC Part #
C1,C050-024X044,1,100nF,
"C2, C3",C050-024X044,2,,
C4,C050-024X044,1,1nF,
CLK0,1X02,1,1MHz,
"D1, D2, D3, D4, D5, D6",U57X32,6,U57X32,
EXP1,2X17,1,TO ORIC,
IC1,DIL28,1,27C512,
IC2,DIL14,1,74LS00N,
IC3,DIL20,1,74273N,
IC4,DIL14,1,74LS04N,
JP1,1X02,1,A14=0,
JP2,1X02,1,A15=0,
JP4,1X02,1,INHIBIT VIA,
JP5,1X01,1,-VIA SEL,
LPT1,2X10,1,Loopback,
Q1,HC18U-V,1,1.000 MHz,
"R1, R2, R3, R4, R5, R7",0204V,6,,
"R10, R9",0204V,2,1K0,
R11,0204V,1,10K,
R6,0204V,1,82R x 6,
R8,0204V,1,2K2 x 2,
S1,DT6,1,RESET,
