Designator,Mid X,Mid Y,Rotation,Layer
C1,158.6611,-118.9736,270.0,top
C2,163.7411,-96.1136,270.0,top
C3,139.6111,-96.1136,270.0,top
C4,176.4411,-130.4036,0.0,top
CLK0,186.6011,-124.0536,0.0,top
D1,134.5311,-79.6036,90.0,top
D2,130.7211,-79.6036,90.0,top
D3,126.9111,-79.6036,90.0,top
D4,123.1011,-79.6036,90.0,top
D5,119.2911,-79.6036,90.0,top
D6,115.4811,-79.6036,90.0,top
EXP1,138.3411,-139.2936,180.0,top
IC1,137.0711,-118.9736,0.0,top
IC2,152.3111,-96.1136,0.0,top
IC3,124.3711,-96.1136,0.0,top
IC4,180.2511,-115.1636,0.0,top
JP1,163.7411,-126.5936,0.0,top
JP2,163.7411,-111.3536,0.0,top
JP4,149.7711,-84.6836,180.0,top
JP5,151.0411,-77.0636,180.0,top
LPT1,185.3311,-83.4136,90.0,top
Q1,176.4411,-136.7536,0.0,top
R1,134.5311,-85.9536,90.0,top
R10,178.9811,-124.0536,0.0,top
R11,143.4211,-78.3336,180.0,top
R2,130.7211,-85.9536,90.0,top
R3,126.9111,-85.9536,90.0,top
R4,123.1011,-85.9536,90.0,top
R5,119.2911,-85.9536,90.0,top
R6,115.4811,-85.9536,90.0,top
R7,112.9411,-110.0836,0.0,top
R8,112.9411,-106.2736,0.0,top
R9,173.9011,-124.0536,0.0,top
S1,161.2011,-80.8736,0.0,top
